"Product ID","Classic ID","ID (6001-8000)","ID (10001-12000)","ID (12001-14000)","ID (14001-16000)","ID (16001-18000)","ID (18001-20000)","ID (20001-22000)","ID (22001-24000)","ID (24001-26000)"
"16,  10051,22016, 24016",16,,10051,,,,,,22016,24016
"228,  10228,22228, 24228",228,,10228,,,,,,22228,24228
"229,  10229,22229, 24229",229,,10229,,,,,,22229,24229
"230,  10230,22230, 24230",230,,10230,,,,,,22230,24230
"231,  10231,22231, 24231",231,,10231,,,,,,22231,24231
"232,  10232,22232, 24232",232,,10232,,,,,,22232,24232
"233,  10233,22233, 24233",233,,10233,,,,,,22233,24233
"234,  10234,22234, 24234",234,,10234,,,,,,22234,24234
"235,  10235,22235, 24235",235,,10235,,,,,,22235,24235
"236,  10236,22236, 24236",236,,10236,,,,,,22236,24236
"237,  10237,22237, 24237",237,,10237,,,,,,22237,24237
"17,  10017,22017, 24017",17,,10017,,,,,,22017,24017
"18,22018, 24018",18,,,,,,,,22018,24018
,238,,,,,,,,22238,24238
,239,,,,,,,,22239,24239
"19,12019, 14019,20019, 22019,",19,,,12019,14019,,,20019,22019,
"240,, 20240, 22240,",240,,,,,,,20240,22240,
"241,22241,",241,,,,,,,,22241,
"242,14242,20242, 22242,",242,,,,14242,,,20242,22242,
"243,14243,20243, 22243,",243,,,,14243,,,20243,22243,
,244,,,12244,14244,,,20244,22244,
"245,12245, 14245,20245, 22245,",245,,,12245,14245,,,20245,22245,
"246,14246,20246, 22246,",246,,,,14246,,,20246,22246,
"Classic > Acrylics > Denture Acrylics > Hard Reline",247,,,,14247,,,,22247,
"Classic > Acrylics > Denture Acrylics > Hard Reline>Powder Refill",1670,,,,15302,,,,23661,
"Classic > Acrylics > Denture Acrylics > Hard Reline>Liquid Refill",1671,,,,15303,,,,23662,
"Classic > Acrylics > Denture Acrylics > Soft Reline",248,,,,14248,,,20248,22248,
"Classic > Acrylics > Denture Acrylics > Soft Reline>Powder Refill",1672,,,,15304,,,21302,23663,
"Classic > Acrylics > Denture Acrylics > Soft Reline>Liquid Refill",1673,,,,15305,,,21303,23664,
"Classic > Acrylics > Denture Acrylics > Denture Repair",1268,,,,,,,,23268,
"Classic > Acrylics > Denture Acrylics > Denture Repair>Powder Refill",1304,,,,,,,,23304,
"Classic > Acrylics > Denture Acrylics > Denture Repair>Liquid Refill",1305,,,,,,,,23305,
"249,22249,",249,,,,,,,,22249,
"250,22250,",250,,,,,,,,22250,
"251,14251,20251, 22251,",251,,,,14251,,,20251,22251,
"252,14252,20252, 22252,",252,,,,14252,,,20252,22252,
"253,14253,20253, 22253,",253,,,,14253,,,20253,22253,
"254,14254,20254, 22254,",254,,,,14254,,,20254,22254,
"255,22255,",255,,,,,,,,22255,
"256,22256,",256,,,,,,,,22256,
"257, i,, 22257,",257,,,,,,,,22257,
"258,14258,20258,22258",258,,,,14258,,,20258,22258,
"1300,15300,21300,23300",1300,,,,15300,,,21300,23300,
"1301,15301,21301,23301",1301,,,,15301,,,21301,23301,
"259,22259,",259,,,,,,,,22259,
"260,22260,",260,,,,,,,,22260,
"Classic > Waxes > Alu-Wax",261,,,,,,,,22261,
"Classic > Waxes > Baseplate Wax",262,,,,,,,,22262,
"Classic > Waxes > Occlusal Wax",263,,,,,,,,22263,
"Classic > Waxes > Setup Wax",264,,,,,,,,22264,
"Classic > Waxes > Tray Wax",265,,,,,,,,22265,
"20,12020,22020, 24020",20,,,12020,,,,,22020,24020
"21, 69",21,69,,,,,,,,
"266, 6266",266,6266,,,,,,,,
"267, 6267",267,6267,,,,,,,,
"268, 6268",268,6268,,,,,,,,
"269, 6269",269,6269,,,,,,,,
"270, 6270",270,6270,,,,,,,,
"271, 6271",271,6271,,,,,,,,
"272, 6272",272,6272,,,,,,,,
"273, 6273",273,6273,,,,,,,,
"274, 6274",274,6274,,,,,,,,
"275, 6275,23",275,6275,,,,,,,,
"276, 6276,291",276,6276,,,,,,,,
"277, 6277,292",277,6277,,,,,,,,
"278, 6278,293",278,6278,,,,,,,,
"279, 6279,294",279,6279,,,,,,,,
"280, 6280,295",280,6280,,,,,,,,
"281, 6281,296,925,6925",281,6281,,,,,,,,
"282, 6282",282,6282,,,,,,,,
"283, 6283",283,6283,,,,,,,,
"284, 6284",284,6284,,,,,,,,
"22, 70",22,70,,,,,,,,
"285, 6285",285,6285,,,,,,,,
"286, 6286",286,6286,,,,,,,,
"287, 6287",287,6287,,,,,,,,
"288, 6288",288,6288,,,,,,,,
"289, 6289",289,6289,,,,,,,,
"290, 6290",290,6290,,,,,,,,
"Classic > Disposables > Evacuation",23,,,,,,,,,
"Classic > Disposables > Evacuation > HVE",291,,,,,,,,,
"Classic > Disposables > Evacuation > Repair Parts",292,,,,,,,,,
"Classic > Disposables > Evacuation > Saliva Ejectors",293,,,,,,,,,
"Classic > Disposables > Evacuation > Surgical",294,,,,,,,,,
"Classic > Disposables > Evacuation > Surgical Aspirators",295,,,,,,,,,
"Classic > Disposables > Evacuation > Traps",296,,,,,,,,,
"24,  10024,18024,24024",24,,10024,,,,18024,,,24024
"297,  10297,18297, ",297,,10297,,,,18297,,,
"298,  10298,",298,,10298,,,,,,,
"299,  10299,18299,  22299, 24299",299,,10299,,,,18299,,22299,24299
"300,  10300,18300,  22300, 24300",300,,10300,,,,18300,,22300,24300
"301,  10301,22301, 24301",301,,10301,,,,,,22301,24301
"302,  10302,",302,,10302,,,,,,,
"303,  10303,",303,,10303,,,,,,,
"304,  10304,",304,,10304,,,,,,,
"305,  10305,",305,,10305,,,,,,,
"306,  10306,18306, ",306,,10306,,,,18306,,,
"307,  10307,18307, ",307,,10307,,,,18307,,,
"308,  10308,18308, ",308,,10308,,,,18308,,,
"309,  10309,18309, ",309,,10309,,,,18309,,,
"310,  10310,22310, 24310",310,,10310,,,,,,22310,24310
"311,  10311,22311, 24311",311,,10311,,,,,,22311,24311
"312,  10312,22312, 24312",312,,10312,,,,,,22312,24312
"1341, 11341",1341,,11341,,,,,,,
"1342, 11342",1342,,11342,,,,,,,
"1343, 11343",1343,,11343,,,,,,,
"1344, 11344",1344,,11344,,,,,,,
"1345, 11345",1345,,11345,,,,,,,
"1346, 11346",1346,,11346,,,,,,,
"1347, 11347",1347,,11347,,,,,,,
"1348, 11348",1348,,11348,,,,,,,
"1349, 11349",1349,,11349,,,,,,,
